"Date","HSE area","Key","Value"
2020-04-03,"HSE South-East","Foreign travel",5
2020-04-03,"HSE South-East","No Foreign travel",3
2020-04-03,"HSE South-East","Not specified",60
2020-04-03,"HSE South","Foreign travel",18
2020-04-03,"HSE South","No Foreign travel",76
2020-04-03,"HSE South","Not specified",46
2020-04-03,"HSE West","Foreign travel",7
2020-04-03,"HSE West","No Foreign travel",64
2020-04-03,"HSE West","Not specified",14
2020-04-02,"HSE East","Foreign travel",31
2020-04-02,"HSE East","No Foreign travel",570
2020-04-02,"HSE East","Not specified",38
2020-04-02,"HSE Midlands","Foreign travel",2
2020-04-02,"HSE Midlands","No Foreign travel",37
2020-04-02,"HSE Midlands","Not specified",10
2020-04-02,"HSE Mid-West","Foreign travel",11
2020-04-02,"HSE Mid-West","No Foreign travel",58
2020-04-02,"HSE Mid-West","Not specified",0
2020-04-02,"HSE North-East","Foreign travel",2
2020-04-02,"HSE North-East","No Foreign travel",28
2020-04-02,"HSE North-East","Not specified",4
2020-04-02,"HSE North-West","Foreign travel",5
2020-04-02,"HSE North-West","No Foreign travel",19
2020-04-02,"HSE North-West","Not specified",1
2020-04-02,"HSE South-East","Foreign travel",3
2020-04-02,"HSE South-East","No Foreign travel",4
2020-04-02,"HSE South-East","Not specified",48
2020-04-02,"HSE South","Foreign travel",15
2020-04-02,"HSE South","No Foreign travel",84
2020-04-02,"HSE South","Not specified",38
2020-04-02,"HSE West","Foreign travel",2
2020-04-02,"HSE West","No Foreign travel",63
2020-04-02,"HSE West","Not specified",11
2020-04-01,"HSE East","Foreign travel",42
2020-04-01,"HSE East","No Foreign travel",477
2020-04-01,"HSE East","Not specified",22
2020-04-01,"HSE Midlands","Foreign travel",3
2020-04-01,"HSE Midlands","No Foreign travel",24
2020-04-01,"HSE Midlands","Not specified",12
2020-04-01,"HSE Mid-West","Foreign travel",10
2020-04-01,"HSE Mid-West","No Foreign travel",39
2020-04-01,"HSE Mid-West","Not specified",13
2020-04-01,"HSE North-East","Foreign travel",2
2020-04-01,"HSE North-East","No Foreign travel",15
2020-04-01,"HSE North-East","Not specified",17
2020-04-01,"HSE North-West","Foreign travel",6
2020-04-01,"HSE North-West","No Foreign travel",14
2020-04-01,"HSE North-West","Not specified",4
2020-04-01,"HSE South-East","Foreign travel",5
2020-04-01,"HSE South-East","No Foreign travel",3
