"Date","County","Value"
2020-03-21,"Waterford",9
2020-03-21,"Westmeath",20
2020-03-21,"Wexford",3
2020-03-21,"Wicklow",22
2020-03-20,"Carlow",3
2020-03-20,"Cavan",4
2020-03-20,"Clare",7
2020-03-20,"Cork",101
2020-03-20,"Donegal",5
2020-03-20,"Dublin",402
2020-03-20,"Galway",25
2020-03-20,"Kerry",9
2020-03-20,"Kildare",20
2020-03-20,"Kilkenny",11
2020-03-20,"Laois",6
2020-03-20,"Leitrim",1
2020-03-20,"Limerick",15
2020-03-20,"Longford",3
2020-03-20,"Louth",11
2020-03-20,"Mayo",3
2020-03-20,"Meath",11
2020-03-20,"Monaghan",2
2020-03-20,"Offaly",9
2020-03-20,"Roscommon",1
2020-03-20,"Sligo",5
2020-03-20,"Tipperary",8
2020-03-20,"Waterford",9
2020-03-20,"Westmeath",16
2020-03-20,"Wexford",3
2020-03-20,"Wicklow",22
2020-04-28,"Carlow",95
2020-04-28,"Cavan",634
2020-04-28,"Clare",232
2020-04-28,"Cork",1146
2020-04-28,"Donegal",456
2020-04-28,"Dublin",9967
2020-04-28,"Galway",355
2020-04-28,"Kerry",292
2020-04-28,"Kildare",1193
2020-04-28,"Kilkenny",242
2020-04-28,"Laois",218
2020-04-28,"Leitrim",68
2020-04-28,"Limerick",535
2020-04-28,"Longford",146
2020-04-28,"Louth",655
2020-04-28,"Mayo",483
2020-04-28,"Meath",671
2020-04-28,"Monaghan",393
2020-04-28,"Offaly",282
2020-04-28,"Roscommon",150
2020-04-28,"Sligo",116
2020-04-28,"Tipperary",415
2020-04-28,"Waterford",137
2020-04-28,"Westmeath",474
2020-04-28,"Wexford",167
2020-04-28,"Wicklow",589
2020-04-27,"Carlow",95
2020-04-27,"Cavan",634
2020-04-27,"Clare",232
2020-04-27,"Cork",1136
2020-04-27,"Donegal",454
2020-04-27,"Dublin",9751
2020-04-27,"Galway",351
2020-04-27,"Kerry",292
2020-04-27,"Kildare",1162
2020-04-27,"Kilkenny",236
2020-04-27,"Laois",216
2020-04-27,"Leitrim",67
2020-04-27,"Limerick",532
2020-04-27,"Longford",145
2020-04-27,"Louth",652
2020-04-27,"Mayo",478
2020-04-27,"Meath",661
2020-04-27,"Monaghan",388
2020-04-27,"Offaly",264
2020-04-27,"Roscommon",148
2020-04-27,"Sligo",116
2020-04-27,"Tipperary",389
2020-04-27,"Waterford",137
2020-04-27,"Westmeath",461
2020-04-27,"Wexford",162
2020-04-27,"Wicklow",564
2020-04-26,"Carlow",93
2020-04-26,"Cavan",627
2020-04-26,"Clare",229
2020-04-26,"Cork",1126
2020-04-26,"Donegal",453
2020-04-26,"Dublin",9624
2020-04-26,"Galway",332
2020-04-26,"Kerry",288
2020-04-26,"Kildare",1147
2020-04-26,"Kilkenny",233
2020-04-26,"Laois",212
2020-04-26,"Leitrim",67
2020-04-26,"Limerick",518
2020-04-26,"Longford",135
2020-04-26,"Louth",640
2020-04-26,"Mayo",466
2020-04-26,"Meath",638
2020-04-26,"Monaghan",385
2020-04-26,"Offaly",236
2020-04-26,"Roscommon",141
2020-04-26,"Sligo",117
2020-04-26,"Tipperary",370
2020-04-26,"Waterford",138
2020-04-26,"Westmeath",448
2020-04-26,"Wexford",162
2020-04-26,"Wicklow",558
2020-04-25,"Carlow",92
2020-04-25,"Cavan",609
2020-04-25,"Clare",212
2020-04-25,"Cork",1125
2020-04-25,"Donegal",452
2020-04-25,"Dublin",9532
2020-04-25,"Galway",335
2020-04-25,"Kerry",288
2020-04-25,"Kildare",1127
2020-04-25,"Kilkenny",233
2020-04-25,"Laois",205
2020-04-25,"Leitrim",66
2020-04-25,"Limerick",457
2020-04-25,"Longford",129
2020-04-25,"Louth",627
2020-04-25,"Mayo",464
2020-04-25,"Meath",626
2020-04-25,"Monaghan",373
2020-04-25,"Offaly",228
2020-04-25,"Roscommon",135
2020-04-25,"Sligo",114
2020-04-25,"Tipperary",364
2020-04-25,"Waterford",137
2020-04-25,"Westmeath",446
2020-04-25,"Wexford",162
2020-04-25,"Wicklow",557
2020-04-24,"Carlow",91
2020-04-24,"Cavan",574
2020-04-24,"Clare",209
2020-04-24,"Cork",1110
2020-04-24,"Donegal",446
2020-04-24,"Dublin",9224
2020-04-24,"Galway",332
2020-04-24,"Kerry",277
2020-04-24,"Kildare",1028
2020-04-24,"Kilkenny",230
2020-04-24,"Laois",205
2020-04-24,"Leitrim",64
2020-04-24,"Limerick",442
2020-04-24,"Longford",124
2020-04-24,"Louth",597
2020-04-24,"Mayo",435
2020-04-24,"Meath",613
2020-04-24,"Monaghan",350
2020-04-24,"Offaly",225
2020-04-24,"Roscommon",116
2020-04-24,"Sligo",104
2020-04-24,"Tipperary",346
2020-04-24,"Waterford",135
2020-04-24,"Westmeath",437
2020-04-24,"Wexford",156
2020-04-24,"Wicklow",561
2020-04-23,"Carlow",88
2020-04-23,"Cavan",536
2020-04-23,"Clare",207
2020-04-23,"Cork",1103
2020-04-23,"Donegal",437
2020-04-23,"Dublin",9010
2020-04-23,"Galway",332
2020-04-23,"Kerry",276
2020-04-23,"Kildare",1003
2020-04-23,"Kilkenny",229
2020-04-23,"Laois",204
2020-04-23,"Leitrim",62
2020-04-23,"Limerick",441
2020-04-23,"Longford",113
2020-04-23,"Louth",590
2020-04-23,"Mayo",395
2020-04-23,"Meath",578
2020-04-23,"Monaghan",327
2020-04-23,"Offaly",222
2020-04-23,"Roscommon",114
2020-04-23,"Sligo",104
2020-04-23,"Tipperary",345
2020-04-23,"Waterford",129
2020-04-23,"Westmeath",421
2020-04-23,"Wexford",151
2020-04-23,"Wicklow",558
2020-04-22,"Carlow",86
2020-04-22,"Cavan",506
2020-04-22,"Clare",206
2020-04-22,"Cork",1096
2020-04-22,"Donegal",440
2020-04-22,"Dublin",8729
2020-04-22,"Galway",331
2020-04-22,"Kerry",271
2020-04-22,"Kildare",954
2020-04-22,"Kilkenny",227
2020-04-22,"Laois",202
2020-04-22,"Leitrim",62
2020-04-22,"Limerick",439
2020-04-22,"Longford",102
2020-04-22,"Louth",536
2020-04-22,"Mayo",391
2020-04-22,"Meath",568
2020-04-22,"Monaghan",318
2020-04-22,"Offaly",217
2020-04-22,"Roscommon",111
2020-04-22,"Sligo",105
2020-04-22,"Tipperary",343
2020-04-22,"Waterford",122
2020-04-22,"Westmeath",409
2020-04-22,"Wexford",143
2020-04-22,"Wicklow",506
2020-04-21,"Carlow",84
2020-04-21,"Cavan",466
2020-04-21,"Clare",187
2020-04-21,"Cork",1087
2020-04-21,"Donegal",431
2020-04-21,"Dublin",8216
2020-04-21,"Galway",315
2020-04-21,"Kerry",271
2020-04-21,"Kildare",875
2020-04-21,"Kilkenny",222
2020-04-21,"Laois",192
2020-04-21,"Leitrim",56
2020-04-21,"Limerick",420
2020-04-21,"Longford",102
2020-04-21,"Louth",506
2020-04-21,"Mayo",365
2020-04-21,"Meath",550
2020-04-21,"Monaghan",249
2020-04-21,"Offaly",205
2020-04-21,"Roscommon",92
2020-04-21,"Sligo",98
2020-04-21,"Tipperary",327
2020-04-21,"Waterford",122
2020-04-21,"Westmeath",395
2020-04-21,"Wexford",137
2020-04-21,"Wicklow",469
2020-04-20,"Carlow",80
2020-04-20,"Cavan",430
2020-04-20,"Clare",165
2020-04-20,"Cork",1077
2020-04-20,"Donegal",416
2020-04-20,"Dublin",7905
